prompt,concept,steering_strength,completeness_score,steered_prob_11,steered_prob_last,completeness_score_last_layer,concept_prob_difference
Present a definitive and authoritative command of the subject matter.,confidence,0.0,0.0,0.687519208563349,0.29346147602225015,-0.18154764683412275,0.0
Present a definitive and authoritative command of the subject matter.,confidence,2.0,0.31248072855023074,0.9999999371135797,0.4844314505992701,0.009422327742897288,0.09409734163381592
Present a definitive and authoritative command of the subject matter.,confidence,9.0,0.312480791436651,1.0,0.7389310621519828,0.26392193929560986,0.14016490535872447
Compose a response that speaks with absolute conviction and total clarity.,confidence,0.0,0.0,0.7108128959631689,0.28125763448038804,-0.06778931735107455,0.0
Compose a response that speaks with absolute conviction and total clarity.,confidence,2.0,0.2891869622408359,0.9999998582040047,0.35673084478361944,0.007683892952156931,0.13172645025958105
Compose a response that speaks with absolute conviction and total clarity.,confidence,9.0,0.2891871040368312,1.0,0.8356261754592275,0.4865792236277648,0.21879926269899172
Draft a masterful and uncompromising argument for this position.,confidence,0.0,0.0,0.4683649991983111,0.23013756227592058,-0.07217787243817468,0.0
Draft a masterful and uncompromising argument for this position.,confidence,2.0,0.531628199526034,0.9999931987243451,0.3359591168398748,0.03364368212577948,0.08262130939089646
Draft a masterful and uncompromising argument for this position.,confidence,9.0,0.5316350008016889,1.0,0.8008900906613795,0.4985746559472843,0.11749566540928832
Provide a final and conclusive verdict on this topic.,confidence,0.0,0.0,0.3698150420961808,0.263920855470591,-0.08408195010235953,0.0
Provide a final and conclusive verdict on this topic.,confidence,2.0,0.6301830058692837,0.9999980479654644,0.3691425908879373,0.02113978531498673,0.15759623652288776
Provide a final and conclusive verdict on this topic.,confidence,9.0,0.6301849579038193,1.0,0.8146210480884253,0.4666182425154746,0.23674258452577077
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,0.0,0.0,0.41247766921690865,0.2650311820183254,-0.10433610751489067,0.0
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,2.0,0.5875116491159538,0.9999893183328625,0.36218105849801574,-0.0071862310352002485,0.11445935155131619
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,9.0,0.5875223307830912,1.0,0.5864522584334858,0.21708496890026976,0.19402112551692485
Write a bold manifesto that asserts these points with maximum impact.,confidence,0.0,0.0,0.6992505757463883,0.2987769050747269,-0.017015946362555996,0.0
Write a bold manifesto that asserts these points with maximum impact.,confidence,2.0,0.30074932668740195,0.9999999024337902,0.3819459258949971,0.06615307445771426,0.07885165285430532
Write a bold manifesto that asserts these points with maximum impact.,confidence,9.0,0.30074942425361173,1.0,0.722932597253043,0.4071397458157602,0.12914583047373757
Offer a commanding perspective that radiates intellectual certainty.,confidence,0.0,0.0,0.7213132972093886,0.46419335475383183,-0.029748428741672744,0.0
Offer a commanding perspective that radiates intellectual certainty.,confidence,2.0,0.27868663226278495,0.9999999294721736,0.5529021827419883,0.058960399246483726,0.11894384932224797
Offer a commanding perspective that radiates intellectual certainty.,confidence,9.0,0.2786867027906114,1.0,0.9028967525327,0.40895496903719536,0.18897017257602153
Construct a formidable and resolute explanation of the facts.,confidence,0.0,0.0,0.6635410220003555,0.3265786091916063,-0.15300359037492411,0.0
Construct a formidable and resolute explanation of the facts.,confidence,2.0,0.3364588582751215,0.9999998802754768,0.4352910401378566,-0.04429115942867396,0.13995306005194136
Construct a formidable and resolute explanation of the facts.,confidence,9.0,0.3364589779996446,1.0,0.8581602081736748,0.3785780086071443,0.25993921821168076
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,0.0,0.0,0.49013337551066805,0.3322329402580112,-0.017683450269603267,0.0
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,2.0,0.50986617213937,0.9999995476500383,0.36452649098364037,0.01461010045602595,0.11630802711700983
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,9.0,0.509866624489332,1.0,0.6130658527039454,0.26314946217633095,0.17903838572975228
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,0.0,0.0,0.668023090158448,0.5896331252386704,-0.09584658020396819,0.0
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,2.0,0.33197666857629143,0.9999997587347393,0.7179015576516301,0.032421852208991686,0.1376474763801611
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,9.0,0.331976909841552,1.0,0.9427819501843834,0.257302244741745,0.199076185951404
Draft a formal executive summary outlining the main conclusions.,formal,0.0,0.0,0.7283784539066409,0.3551549095567021,-0.043523991711431294,0.0
Draft a formal executive summary outlining the main conclusions.,formal,2.0,0.27162138195377755,0.9999998358604186,0.44083536259558265,0.042156461327449164,0.03303165531149365
Draft a formal executive summary outlining the main conclusions.,formal,9.0,0.27162154609335903,1.0,0.8689115017205737,0.47023260045244053,0.042083964789757664
Write a professional memo addressing the key objectives.,formal,0.0,0.0,0.8078646001731135,0.5638982029485791,-0.046550522371784524,0.0
Write a professional memo addressing the key objectives.,formal,2.0,0.19213536123714234,0.9999999614102558,0.6906442592353979,0.08019553391503421,0.10578474655988987
Write a professional memo addressing the key objectives.,formal,9.0,0.19213539982688652,1.0,0.9967526136616439,0.38630388834128027,0.13011294431231624
Provide a structured analysis using formal academic language.,formal,0.0,0.0,0.7949455799277952,0.4452839309043474,-0.02657949095445596,0.0
Provide a structured analysis using formal academic language.,formal,2.0,0.20505438388137276,0.9999999638091679,0.49248605711267684,0.02062263525387353,0.13145939918579
Provide a structured analysis using formal academic language.,formal,9.0,0.20505442007220478,1.0,0.7714159344471009,0.2995525125882974,0.16092127527021002
Compose a formal report section describing the methodology.,formal,0.0,0.0,0.7636455634579974,0.5255253046169007,-0.11606607731995922,0.0
Compose a formal report section describing the methodology.,formal,2.0,0.23635439053718174,0.999999953995179,0.628695720979528,-0.012895660957331795,0.04183057618875909
Compose a formal report section describing the methodology.,formal,9.0,0.23635443654200272,1.0,0.9669639567897264,0.32537257485286647,0.05320188108290427
Prepare a polished introduction suitable for official documentation.,formal,0.0,0.0,0.6809950272566704,0.5698578372941114,-0.06937793342952935,0.0
Prepare a polished introduction suitable for official documentation.,formal,2.0,0.3190049025259452,0.9999999297826156,0.717167798189576,0.07793202746593521,0.04037061196479831
Prepare a polished introduction suitable for official documentation.,formal,9.0,0.31900497274332945,1.0,0.9744077242430206,0.3351719535193797,0.05105059550638932
Write a formal evaluation supported by clear reasoning.,formal,0.0,0.0,0.8533148820880564,0.5055224820606116,-0.020599484556802664,0.0
Write a formal evaluation supported by clear reasoning.,formal,2.0,0.14668509467958887,0.9999999767676455,0.5548588553059032,0.028736888688488928,0.13478262318496315
Write a formal evaluation supported by clear reasoning.,formal,9.0,0.14668511791194355,1.0,0.7987430337246205,0.2726210671072063,0.1662171841600649
Develop a professional overview for senior stakeholders.,formal,0.0,0.0,0.846656664734043,0.6852590094188679,-0.026388804481770476,0.0
Develop a professional overview for senior stakeholders.,formal,2.0,0.15334330113132286,0.9999999658653659,0.7746664380862295,0.06301862418559113,0.048007126800481546
Develop a professional overview for senior stakeholders.,formal,9.0,0.15334333526595706,1.0,0.9545328159794774,0.24288500207883906,0.059609452771327086
Summarize the information using precise and formal wording.,formal,0.0,0.0,0.5724063375417551,0.2822994187849799,-0.053157184168985135,0.0
Summarize the information using precise and formal wording.,formal,2.0,0.4275931692835675,0.9999995068253226,0.41042950796882516,0.0749729050148601,0.04017228369744849
Summarize the information using precise and formal wording.,formal,9.0,0.4275936624582449,1.0,0.7100944651103982,0.37463786215643324,0.0508298844367792
Compose a respectful and professional correspondence.,formal,0.0,0.0,0.8823706270238877,0.7267631608259456,-0.0682256286767751,0.0
Compose a respectful and professional correspondence.,formal,2.0,0.11762935267185276,0.9999999796957405,0.8189560264979725,0.02396723699525185,0.046377247731162446
Compose a respectful and professional correspondence.,formal,9.0,0.11762937297611224,1.0,0.9610769238635128,0.16608813436079203,0.05889843281783918
Provide a formally structured explanation with clear transitions.,formal,0.0,0.0,0.7162406410397142,0.5743727986795704,-0.06466047622860696,0.0
Provide a formally structured explanation with clear transitions.,formal,2.0,0.2837592106551404,0.9999998516948546,0.6685098346864312,0.02947655977825398,0.12834040546154563
Provide a formally structured explanation with clear transitions.,formal,9.0,0.2837593589602858,1.0,0.880107742561639,0.2410744676534617,0.15633078468287873
Respond with dry and obvious sarcasm.,sarcasm,0.0,0.0,0.20458986164396906,0.10125933464749677,-0.044940170001432064,0.0
Respond with dry and obvious sarcasm.,sarcasm,2.0,0.7791713719964992,0.9837612336404682,0.14832570039208703,0.002126195743158225,-0.16479286944153682
Respond with dry and obvious sarcasm.,sarcasm,9.0,0.795410138356031,1.0,0.5260537246838108,0.379854220034882,-0.5106431187878366
Write a sarcastic reply using exaggerated praise.,sarcasm,0.0,0.0,0.19216533509944994,0.1491204337951659,-0.009149762185913199,0.0
Write a sarcastic reply using exaggerated praise.,sarcasm,2.0,0.8030042214981854,0.9951695565976354,0.17642487831096715,0.018154682329888032,-0.09282082186843636
Write a sarcastic reply using exaggerated praise.,sarcasm,9.0,0.8078346649005502,1.0,0.4123291003818335,0.2540589044007544,-0.5756583658163024
Give a witty sarcastic comment full of mock surprise.,sarcasm,0.0,0.0,0.1788058552008472,0.19611695505496557,-0.01665364101540045,0.0
Give a witty sarcastic comment full of mock surprise.,sarcasm,2.0,0.8196243875660773,0.9984302427669245,0.2316582475198375,0.01888765144947149,-0.11399708902840557
Give a witty sarcastic comment full of mock surprise.,sarcasm,9.0,0.8211941447991525,1.0,0.4725509915777179,0.25978039550735194,-0.43557872522279323
Respond with sharp sarcasm and playful mockery.,sarcasm,0.0,0.0,0.23029965789584336,0.15105660881765082,-0.03725812106175884,0.0
Respond with sharp sarcasm and playful mockery.,sarcasm,2.0,0.7585506457330737,0.9888503036289175,0.1892229318028625,0.0009082019234529243,-0.15485771226259812
Respond with sharp sarcasm and playful mockery.,sarcasm,9.0,0.7697003421041566,1.0,0.500599955995504,0.3122852261160944,-0.5588539818519186
Write a sarcastic reaction showing fake enthusiasm.,sarcasm,0.0,0.0,0.19329431320033483,0.16071810627990862,-0.01150175012181525,0.0
Write a sarcastic reaction showing fake enthusiasm.,sarcasm,2.0,0.8003033526564169,0.9935976658567517,0.1936037594118278,0.021383903010103896,-0.13920128070302834
Write a sarcastic reaction showing fake enthusiasm.,sarcasm,9.0,0.8067056867996651,1.0,0.4773443999113907,0.30512454350966683,-0.5992498183867667
Give a sarcastic observation highlighting irony.,sarcasm,0.0,0.0,0.11974151796419195,0.1618192127325255,-0.022867118133813282,0.0
Give a sarcastic observation highlighting irony.,sarcasm,2.0,0.8682070448297212,0.9879485627939132,0.20783321408718558,0.023146883220846806,-0.1087512771089701
Give a sarcastic observation highlighting irony.,sarcasm,9.0,0.8802584820358081,1.0,0.4104721815018495,0.2257858506355108,-0.5789422369645744
Respond with a snarky and teasing sarcastic tone.,sarcasm,0.0,0.0,0.19755693677028222,0.1941611125845133,-0.03122422644525194,0.0
Respond with a snarky and teasing sarcastic tone.,sarcasm,2.0,0.8001866184185629,0.9977435551888452,0.2269864052890509,0.0016010662592856385,-0.11411455010212768
Respond with a snarky and teasing sarcastic tone.,sarcasm,9.0,0.8024430632297178,1.0,0.4675532581749997,0.2421679191452345,-0.4505827187807123
Write a sarcastic remark expressing humorous disbelief.,sarcasm,0.0,0.0,0.18694861076323174,0.14112024025342604,-0.021035926974046923,0.0
Write a sarcastic remark expressing humorous disbelief.,sarcasm,2.0,0.8085704885192704,0.9955190992825022,0.17948826796228934,0.017332100734816377,-0.08906803870830746
Write a sarcastic remark expressing humorous disbelief.,sarcasm,9.0,0.8130513892367682,1.0,0.4812767820668969,0.31912061483942394,-0.5902987954156653
Give a sarcastic response that subtly mocks expectations.,sarcasm,0.0,0.0,0.09839163101326741,0.1294318488707176,-0.017299689892666385,0.0
Give a sarcastic response that subtly mocks expectations.,sarcasm,2.0,0.8918468091078411,0.9902384401211084,0.16433102909899652,0.017599490335612547,-0.0973209461234766
Give a sarcastic response that subtly mocks expectations.,sarcasm,9.0,0.9016083689867327,1.0,0.45444545091562094,0.3077139121522369,-0.48664235740936485
Respond with dramatic and over-the-top sarcasm.,sarcasm,0.0,0.0,0.1639431296169997,0.0706446970820723,-0.03255753042421189,0.0
Respond with dramatic and over-the-top sarcasm.,sarcasm,2.0,0.8326126485057512,0.9965557781227509,0.10854618033080028,0.005343952824516095,-0.1912136471408091
Respond with dramatic and over-the-top sarcasm.,sarcasm,9.0,0.8360568703830004,1.0,0.5295452118115453,0.4263429843052612,-0.7199666739644068
Describe how athletes prepare mentally for competition.,sports,0.0,0.0,0.46185101965603365,0.23774061903919516,-0.011468935836867422,0.0
Describe how athletes prepare mentally for competition.,sports,2.0,0.5381486049071385,0.999999624563172,0.4023758038324647,0.1531662489564021,0.04350005429363518
Describe how athletes prepare mentally for competition.,sports,9.0,0.5381489803439664,1.0,0.7334774520962539,0.4842678972201913,0.08768806488810943
Explain the importance of teamwork in competitive sports.,sports,0.0,0.0,0.8155956916703769,0.4847024424750443,-0.05147332380910338,0.0
Explain the importance of teamwork in competitive sports.,sports,2.0,0.18440426912269559,0.9999999607930725,0.583737421520542,0.04756165523639425,0.03939979461543337
Explain the importance of teamwork in competitive sports.,sports,9.0,0.18440430832962307,1.0,0.8369502784944343,0.30077451221028634,0.07999411177606162
Write a short analysis of a memorable sports match.,sports,0.0,0.0,0.7874880361257475,0.1919855842331409,-0.0623386697739173,0.0
Write a short analysis of a memorable sports match.,sports,2.0,0.21251191294473515,0.9999999490704826,0.28459013708669323,0.030265883079635094,0.06269927255844097
Write a short analysis of a memorable sports match.,sports,9.0,0.21251196387425253,1.0,0.6638084160804011,0.409484162073343,0.13582279690654367
Describe the atmosphere inside a crowded sports stadium.,sports,0.0,0.0,0.35326337004365843,0.21175136992141547,-0.0534082122595638,0.0
Describe the atmosphere inside a crowded sports stadium.,sports,2.0,0.6467362407619848,0.9999996108056431,0.31377332565010035,0.04861374346912106,0.043149861513089575
Describe the atmosphere inside a crowded sports stadium.,sports,9.0,0.6467366299563415,1.0,0.6443846680963694,0.37922508591539017,0.08587895108321511
Explain how training routines improve athletic performance.,sports,0.0,0.0,0.6494188618199711,0.31800102176009987,-0.11505037678335295,0.0
Explain how training routines improve athletic performance.,sports,2.0,0.3505810622028594,0.9999999240228304,0.43981864938942344,0.0067672508459706675,0.042473840230963116
Explain how training routines improve athletic performance.,sports,9.0,0.35058113818002895,1.0,0.7499900428299653,0.31693864428651247,0.08630853776814645
Write about the role of discipline in professional sports.,sports,0.0,0.0,0.806255532128347,0.6620644143254095,-0.09116397948893272,0.0
Write about the role of discipline in professional sports.,sports,2.0,0.19374439050951855,0.9999999226378654,0.7804537544141726,0.02722536059983033,0.05356564255833473
Write about the role of discipline in professional sports.,sports,9.0,0.19374446787165311,1.0,0.9470450141100734,0.1938166202957313,0.1126219668413922
Describe a moment of victory in a championship game.,sports,0.0,0.0,0.5293893718898772,0.17473524618419056,-0.03645660940720876,0.0
Describe a moment of victory in a championship game.,sports,2.0,0.4706102576690366,0.9999996295589139,0.25419281811303035,0.04300096252163105,0.07552855331312924
Describe a moment of victory in a championship game.,sports,9.0,0.4706106281101228,1.0,0.8752362289787471,0.6640443733873476,0.15982220415440554
Explain how strategy influences the outcome of a match.,sports,0.0,0.0,0.6124313765641484,0.1665715542894345,-0.052230998649394296,0.0
Explain how strategy influences the outcome of a match.,sports,2.0,0.38756853125584456,0.9999999078199929,0.2174115651190414,-0.001390987819787378,0.039005935999076646
Explain how strategy influences the outcome of a match.,sports,9.0,0.38756862343585163,1.0,0.4551192119200061,0.23631665898117732,0.07933997229939209
Write a motivational speech for a sports team before a match.,sports,0.0,0.0,0.9229081789221183,0.436025039844606,-0.002843093368510919,0.0
Write a motivational speech for a sports team before a match.,sports,2.0,0.07709180889626979,0.9999999878183881,0.6173014443129097,0.17843331109979288,0.045763239311379336
Write a motivational speech for a sports team before a match.,sports,9.0,0.07709182107788182,1.0,0.98171065077911,0.5428425175659931,0.10251363581501804
Describe how athletes recover after intense competition.,sports,0.0,0.0,0.4600592938426488,0.2644319551612364,-0.0020627291017062286,0.0
Describe how athletes recover after intense competition.,sports,2.0,0.5399402256636091,0.999999519506258,0.4043934603121859,0.1378987760492433,0.043463259993250604
Describe how athletes recover after intense competition.,sports,9.0,0.5399407061573512,1.0,0.6806765298343881,0.41418184557144544,0.08762790234698714
Explain the issue using mature and logical reasoning.,adult,0.0,0.0,0.6563211640590069,0.2968549269598581,-0.05882985177766118,0.0
Explain the issue using mature and logical reasoning.,adult,2.0,0.3436786596685899,0.999999823727597,0.4576822425183671,0.1019974637808478,0.016037369985265736
Explain the issue using mature and logical reasoning.,adult,9.0,0.3436788359409931,1.0,0.7108710307012002,0.3551862519636808,0.06904993548153433
Describe the situation with practical adult judgment.,adult,0.0,0.0,0.3916731175989929,0.31456967430255905,-0.040279433917322686,0.0
Describe the situation with practical adult judgment.,adult,2.0,0.6083263096028515,0.9999994272018444,0.3977166968418876,0.04286758862200589,0.019559782323311136
Describe the situation with practical adult judgment.,adult,9.0,0.6083268824010071,1.0,0.8021852261705623,0.44733611795068057,0.08101381328463403
Write the response using responsible and thoughtful language.,adult,0.0,0.0,0.864004575220698,0.5119551509181793,-0.059072029546905096,0.0
Write the response using responsible and thoughtful language.,adult,2.0,0.13599539900915905,0.999999974229857,0.6311168566424598,0.06008967617737524,0.011287041708986312
Write the response using responsible and thoughtful language.,adult,9.0,0.13599542477930207,1.0,0.8364211668549217,0.2653939863898373,0.046680318390943894
Explain the topic with structured adult clarity.,adult,0.0,0.0,0.6041943217884885,0.24232245879424508,-0.09348115589943912,0.0
Explain the topic with structured adult clarity.,adult,2.0,0.3958054638475821,0.9999997856360707,0.32208932864964285,-0.013714286044041402,0.01553060496892895
Explain the topic with structured adult clarity.,adult,9.0,0.3958056782115114,1.0,0.5683696519604612,0.23256603726677685,0.06699949103636396
Describe the moment with emotional maturity and restraint.,adult,0.0,0.0,0.4082886662482712,0.39316089605918475,-0.06564932132974242,0.0
Describe the moment with emotional maturity and restraint.,adult,2.0,0.5917105384264068,0.9999992046746781,0.4908014841927206,0.031991266803793515,0.01324151828535793
Describe the moment with emotional maturity and restraint.,adult,9.0,0.5917113337517287,1.0,0.8570146130146772,0.39820439562574994,0.05468550701002079
Respond with balanced and rational adult perspective.,adult,0.0,0.0,0.6485032987371929,0.29199230202244936,-0.09837048551478621,0.0
Respond with balanced and rational adult perspective.,adult,2.0,0.3514966228038549,0.9999999215410477,0.3881400985327005,-0.0022226890045350875,0.011342919560629978
Respond with balanced and rational adult perspective.,adult,9.0,0.351496701262807,1.0,0.969644245428432,0.5792814578911964,0.046401607459313016
Explain the decision-making process using adult reasoning.,adult,0.0,0.0,0.7109681317153491,0.2589933762496008,-0.03958682560649953,0.0
Explain the decision-making process using adult reasoning.,adult,2.0,0.28903181200747113,0.9999999437228202,0.4022250278750205,0.10364482601892015,0.022425645767927077
Explain the decision-making process using adult reasoning.,adult,9.0,0.28903186828465094,1.0,0.836199952724761,0.5376197508686608,0.09492553626410284
"Write with calm, deliberate, and experienced tone.",adult,0.0,0.0,0.7096669819941339,0.45088222076403045,-0.05420331428561136,0.0
"Write with calm, deliberate, and experienced tone.",adult,2.0,0.29033292607738964,0.9999999080715235,0.549368639679347,0.04428310462970528,0.008344938006976296
"Write with calm, deliberate, and experienced tone.",adult,9.0,0.2903330180058661,1.0,0.8338079860995372,0.32872245104989556,0.033992724159859405
Describe the scenario with realistic adult awareness.,adult,0.0,0.0,0.42534082133559603,0.23354326177185517,-0.06532391620926228,0.0
Describe the scenario with realistic adult awareness.,adult,2.0,0.5746587320948311,0.999999553430427,0.3504590856400315,0.051591907658914006,0.017540901767682096
Describe the scenario with realistic adult awareness.,adult,9.0,0.574659178664404,1.0,0.7953969377374446,0.49652975975632707,0.07223603749521507
Explain the idea using disciplined and professional language.,adult,0.0,0.0,0.5830625264380123,0.22696350716492175,-0.08999793825319713,0.0
Explain the idea using disciplined and professional language.,adult,2.0,0.4169372501495827,0.9999997765875949,0.321613530682139,0.004652085264020063,0.01596680310682655
Explain the idea using disciplined and professional language.,adult,9.0,0.4169374735619877,1.0,0.6243701965413099,0.30740875112319094,0.07170427274559144
